;;HLAVNÍ MĚSTO PRAHA;;;;;;;;;;;;;;;
CZ020;2103;Brandýs n. Lab.-St.Boleslav;7;Dobročovice;565008;obec;1;1;357;346;75;33;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;8;Dřevčice;538191;obec;1;1;562;789;145;125;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;9;Dřísy;534781;obec;1;1;844;1 041;183;179;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;10;Hlavenec;565989;obec;1;1;1 472;508;69;61;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;11;Horoušany;538221;obec;2;1;706;1 764;435;169;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;12;Hovorčovice;538230;obec;1;1;214;2 561;526;392;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;13;Husinec;538256;obec;2;1;297;1 543;358;257;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;14;Jenštejn;538264;obec;2;2;509;1 453;396;128;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;15;Jirny;538272;obec;2;1;826;3 142;658;433;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;16;Káraný;564974;obec;1;1;894;820;129;177;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;17;Klecany;538311;město;4;2;1 016;3 811;831;524;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;18;Klíčany;538329;obec;1;1;400;606;98;69;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;19;Konětopy;531553;obec;1;1;303;328;56;63;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;20;Kostelní Hlavno;536130;obec;1;1;683;502;98;85;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;21;Křenek;534960;obec;1;1;529;318;64;55;2;-;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;22;Květnice;564982;obec;1;1;283;1 923;458;160;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;23;Lázně Toušeň;538914;městys;1;1;555;1 513;293;252;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;24;Lhota;534986;obec;1;1;796;507;74;107;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;25;Líbeznice;538442;obec;1;1;599;3 181;823;371;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;26;Máslovice;538469;obec;1;1;309;385;63;90;-;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;27;Měšice;538477;obec;1;1;443;2 142;461;285;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;28;Mochov;538507;obec;1;1;932;1 646;278;187;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;29;Mratín;538515;obec;1;1;490;1 462;308;176;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;30;Nehvizdy;538540;městys;2;1;983;4 294;1 139;299;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;31;Nová Ves;538558;obec;1;1;195;1 469;388;110;2;1;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;32;Nový Vestec;538566;obec;1;1;314;497;89;103;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;33;Odolena Voda;538574;město;2;3;1 124;6 344;1 298;1 019;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;34;Panenské Břežany;538604;obec;1;1;579;640;134;116;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;35;Podolanka;538621;obec;1;1;330;603;98;121;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;36;Polerady;538639;obec;1;1;386;640;155;35;2;1;-;;CZ0209
